run_id,status,commit,config_sha256,data_sha256,skill_sha256,task,domain,model_family,model,method,library_size,token_budget,top_k,declared_seed,replicate_id,started_at,finished_at,result_path,result_sha256,result_fingerprint,independent,notes
targetS_bm25_rep42,historical-audited,221dbb59a534a06d267f47a9e727476e4aa4bda9,f43c2d1a5ea8f44a22f4f3c1784a7f5c06867facb079028ac0fb135f12e1ff3d,a2a053e848d154d74b962d39b4ee662a4832d83ea05eb5af14f9af70fff9fea0,815b13fc116414ed1101b210748a0f0d5ee50bf030a2ea5eee1efa346659ee7c,SearchQA,open-domain QA,Qwen,qwen-flash,BM25,8,2000,5,42,seed42,,,artifacts/jos_experiment_v1/targetS/jos_formal_bm25_rep42.json,c410c4d48c1ca649e3f6599b09829cc1a4ed017fac5c5d34dd8ae66ad8d9905f,7b8ac74404c11302d13a945ad325dfe38105f13a8140a062ae6b14f2a66f5e63,true,condition=targetS; seed recovered from manifest
targetS_bm25_rep43,historical-audited,221dbb59a534a06d267f47a9e727476e4aa4bda9,f43c2d1a5ea8f44a22f4f3c1784a7f5c06867facb079028ac0fb135f12e1ff3d,a2a053e848d154d74b962d39b4ee662a4832d83ea05eb5af14f9af70fff9fea0,815b13fc116414ed1101b210748a0f0d5ee50bf030a2ea5eee1efa346659ee7c,SearchQA,open-domain QA,Qwen,qwen-flash,BM25,8,2000,5,43,seed43,,,artifacts/jos_experiment_v1/targetS/jos_formal_bm25_rep43.json,ad7c90c011ed7afdb6a04a7f37f10b2cbd434b53637807e6f3952d9f5fc6ffc0,8051ea17f59348bf5d8023b286a3b66a3c13b9418d1f5478d0fb362dfac5c359,true,condition=targetS; seed recovered from manifest
targetS_bm25_rep44,historical-audited,221dbb59a534a06d267f47a9e727476e4aa4bda9,f43c2d1a5ea8f44a22f4f3c1784a7f5c06867facb079028ac0fb135f12e1ff3d,a2a053e848d154d74b962d39b4ee662a4832d83ea05eb5af14f9af70fff9fea0,815b13fc116414ed1101b210748a0f0d5ee50bf030a2ea5eee1efa346659ee7c,SearchQA,open-domain QA,Qwen,qwen-flash,BM25,8,2000,5,44,seed44,,,artifacts/jos_experiment_v1/targetS/jos_formal_bm25_rep44.json,b0269a134fbd4d7da94df17bf9c98cc993cdf31fbcc9c785f7e628f0d98f5837,1564cdffec98a0755b7c7b92975844fd8e0e6d2c354bfd0702d2fb72f489060b,true,condition=targetS; seed recovered from manifest
targetS_seed42,historical-audited,3fd83ab85f803f884bec61756524cee4c8498554,0fdcb1e52b13129256df2e0dd57511174068a717903994b447309f0d2d575256,a2a053e848d154d74b962d39b4ee662a4832d83ea05eb5af14f9af70fff9fea0,815b13fc116414ed1101b210748a0f0d5ee50bf030a2ea5eee1efa346659ee7c,SearchQA,open-domain QA,Qwen,qwen-flash,Core Only+TF-IDF Top-5+MOAR,8,2000,5,42,seed42,,,artifacts/jos_experiment_v1/targetS/jos_formal_targetS_seed42_enriched.json,637a5431f6f9e15d46e200d58b77c14c103f0244a25efff2a43356472e57d315,cd5e73d4cc127abd9047378392f9d96382f785d8a6b9ba1d84a9237dadaeda83,true,canonical formal artifact
targetS_seed43,historical-audited,3fd83ab85f803f884bec61756524cee4c8498554,dcdc3a7aa61b4097565af517f5996d3f348275ac17f084379d3abeb0b8e487a7,a2a053e848d154d74b962d39b4ee662a4832d83ea05eb5af14f9af70fff9fea0,815b13fc116414ed1101b210748a0f0d5ee50bf030a2ea5eee1efa346659ee7c,SearchQA,open-domain QA,Qwen,qwen-flash,Core Only+TF-IDF Top-5+MOAR,8,2000,5,43,seed43,,,artifacts/jos_experiment_v1/targetS/jos_formal_targetS_seed43_enriched.json,988a34d9f247ef4796b7b86ec7d93f3f1649e6dfa5250aa71a4fd462e8c0d114,76b96dc95e10239eca9b746d0f9acdafaa25203da0cf6b698f0b683a4e60f6ac,true,canonical formal artifact
targetS_seed44,historical-audited,3fd83ab85f803f884bec61756524cee4c8498554,84c4b57ff2f85e77cab4f0ce63b4e813ab0b710b1799f2051ad394fe2d1d4edb,a2a053e848d154d74b962d39b4ee662a4832d83ea05eb5af14f9af70fff9fea0,815b13fc116414ed1101b210748a0f0d5ee50bf030a2ea5eee1efa346659ee7c,SearchQA,open-domain QA,Qwen,qwen-flash,Core Only+TF-IDF Top-5+MOAR,8,2000,5,44,seed44,,,artifacts/jos_experiment_v1/targetS/jos_formal_targetS_seed44_enriched.json,fbe4c56362a0b2f40da6e1222cfe355cce7d6a9fbb71e680e75ce9ef660c6671,6f1b16801af821912bfdc9710bde6ca4e16c9c86a51ebad0e6984d3c1e0e73a4,true,canonical formal artifact
targetS_greedy_cold_rep42,historical-audited,221dbb59a534a06d267f47a9e727476e4aa4bda9,c5cd3a371794264ee0b8890d892bfd8226473aa17aaaf0cc0434bd4fbfa0bdff,a2a053e848d154d74b962d39b4ee662a4832d83ea05eb5af14f9af70fff9fea0,815b13fc116414ed1101b210748a0f0d5ee50bf030a2ea5eee1efa346659ee7c,SearchQA,open-domain QA,Qwen,qwen-flash,Greedy-Cold,8,2000,5,42,seed42,,,artifacts/jos_experiment_v1/targetS/jos_formal_greedy_cold_rep42.json,beb763c18201fce0d08f7cb77abbc18e3bf8bb44dec95e49b077549121db8e4d,e4a2ee8b0973a88c0c49572ece14fc2e8e9820c3711285a840da1e635d0252e4,true,condition=targetS; seed recovered from manifest
targetS_greedy_cold_rep43,historical-audited,221dbb59a534a06d267f47a9e727476e4aa4bda9,c5cd3a371794264ee0b8890d892bfd8226473aa17aaaf0cc0434bd4fbfa0bdff,a2a053e848d154d74b962d39b4ee662a4832d83ea05eb5af14f9af70fff9fea0,815b13fc116414ed1101b210748a0f0d5ee50bf030a2ea5eee1efa346659ee7c,SearchQA,open-domain QA,Qwen,qwen-flash,Greedy-Cold,8,2000,5,43,seed43,,,artifacts/jos_experiment_v1/targetS/jos_formal_greedy_cold_rep43.json,f576eb6293ef8ace9440261caa113bbb8bbf0dab2f3e0f1b21cc6d46ae02875a,c0000a46afb90cbef324573bb8b9b773609b8484d2d44525a43e6300a4d9e550,true,condition=targetS; seed recovered from manifest
targetS_greedy_cold_rep44,historical-audited,221dbb59a534a06d267f47a9e727476e4aa4bda9,c5cd3a371794264ee0b8890d892bfd8226473aa17aaaf0cc0434bd4fbfa0bdff,a2a053e848d154d74b962d39b4ee662a4832d83ea05eb5af14f9af70fff9fea0,815b13fc116414ed1101b210748a0f0d5ee50bf030a2ea5eee1efa346659ee7c,SearchQA,open-domain QA,Qwen,qwen-flash,Greedy-Cold,8,2000,5,44,seed44,,,artifacts/jos_experiment_v1/targetS/jos_formal_greedy_cold_rep44.json,8b6fd8fb0281bbd66517c300dc1c50ce359852e83b99e98d272449dbeeb0c0e0,8cc532d80903a2dc9f4ba735e4c78018d52b700a887346ce87feee088e4e2df3,true,condition=targetS; seed recovered from manifest
targetS_greedy_util_rep42,historical-audited,221dbb59a534a06d267f47a9e727476e4aa4bda9,bdc23beeeccfe42cc977de5c03a8d89a0271ba09e50e3fc4d79323a4a923e041,a2a053e848d154d74b962d39b4ee662a4832d83ea05eb5af14f9af70fff9fea0,815b13fc116414ed1101b210748a0f0d5ee50bf030a2ea5eee1efa346659ee7c,SearchQA,open-domain QA,Qwen,qwen-flash,Greedy-Utility,8,2000,5,42,seed42,,,artifacts/jos_experiment_v1/targetS/jos_formal_greedy_util_rep42.json,c544cf7ac4bdd7af7bd084eaa3b3525e63981b83034272a867914fbe8ebb3054,cbc6b0574bb4d00394c205fbe758b83c2cfb6aab6724bc74390d8805326840a2,true,condition=targetS; seed recovered from manifest
